name,vsini,ror,b,ref_link
name,pl_imppar,pl_ratror,st_vsin,https://exoplanetarchive.ipac.caltech.edu/overview/name
Kepler-42 b,0.711,0.0419,3.3,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-42%20b
HR 8799 c,,,34.79,https://exoplanetarchive.ipac.caltech.edu/overview/HR%208799%20c
HATS-15 b,0.317,0.1229,4.18,https://exoplanetarchive.ipac.caltech.edu/overview/HATS-15%20b
GJ 3341 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/GJ%203341%20b
GJ 581 e,,,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/GJ%20581%20e
G 264-012 b,,,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/G%20264-012%20b
EPIC 212624936 c,,0.0226,,https://exoplanetarchive.ipac.caltech.edu/overview/EPIC%20212624936%20c
K2-104 b,0.39,0.034,2.6,https://exoplanetarchive.ipac.caltech.edu/overview/K2-104%20b
EPIC 201615463 c,0.61,0.0093,,https://exoplanetarchive.ipac.caltech.edu/overview/EPIC%20201615463%20c
EPIC 206032309 b,0.26,0.0405,,https://exoplanetarchive.ipac.caltech.edu/overview/EPIC%20206032309%20b
EPIC 212424622 b,0.74,0.0148,,https://exoplanetarchive.ipac.caltech.edu/overview/EPIC%20212424622%20b
TOI-1683.01,,0.03452392,,https://exofop.ipac.caltech.edu/tess/target.php?id=58542531
GJ 3293 d,,,,https://exoplanetarchive.ipac.caltech.edu/overview/GJ%203293%20d
BD-08 2823 b,,,1.4,https://exoplanetarchive.ipac.caltech.edu/overview/BD-08%202823%20b
BD-10 3166 b,,,0.92,https://exoplanetarchive.ipac.caltech.edu/overview/BD-10%203166%20b
GJ 720 A b,,,0.99,https://exoplanetarchive.ipac.caltech.edu/overview/GJ%20720%20A%20b
BD-13 2130 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/BD-13%202130%20b
HD 215152 d,,,3.35,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20215152%20d
AB Pic b,,,10.35,https://exoplanetarchive.ipac.caltech.edu/overview/AB%20Pic%20b
CoRoT-7 d,,,3.5,https://exoplanetarchive.ipac.caltech.edu/overview/CoRoT-7%20d
HD 113337 c,,,6.3,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20113337%20c
EPIC 246851721 b,0.647,0.0681,74.92,https://exoplanetarchive.ipac.caltech.edu/overview/EPIC%20246851721%20b
K2-128 b,,0.016752,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-128%20b
K2-123 b,0.39,0.0427,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-123%20b
K2-132 b,0.848,0.0325,3.36,https://exoplanetarchive.ipac.caltech.edu/overview/K2-132%20b
K2-113 b,0.72,0.0898,2.06,https://exoplanetarchive.ipac.caltech.edu/overview/K2-113%20b
KMT-2021-BLG-1105L b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/KMT-2021-BLG-1105L%20b
OGLE2-TR-L9 b,,,39.33,https://exoplanetarchive.ipac.caltech.edu/overview/OGLE2-TR-L9%20b
HD 105618 c,,,,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20105618%20c
TOI-837 b,0.92,0.0798,16.8,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-837%20b
PDS 70 b,,,17.27,https://exoplanetarchive.ipac.caltech.edu/overview/PDS%2070%20b
GJ 357 b,0.307,0.0309,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/GJ%20357%20b
WASP-124 b,0.61,0.1241,3.2,https://exoplanetarchive.ipac.caltech.edu/overview/WASP-124%20b
K2-338 b,0.42,0.0148,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-338%20b
K2-187 b,0.41,0.0132,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-187%20b
HD 164604 b,,,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20164604%20b
KIC 8540376 c,,0.018,,https://exoplanetarchive.ipac.caltech.edu/overview/KIC%208540376%20c
KOI-217 b,0.0053,0.135684,,https://exoplanetarchive.ipac.caltech.edu/overview/KOI-217%20b
Kepler-603 c,0.8791,0.058659,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-603%20c
Kepler-275 c,0.06,0.02368,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-275%20c
Kepler-170 c,0.42,0.02931,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-170%20c
Kepler-598 c,0.0202,0.02721,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-598%20c
eps Ind A b,,,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/eps%20Ind%20A%20b
AF Lep b,,,50.0,https://exoplanetarchive.ipac.caltech.edu/overview/AF%20Lep%20b
WD 0806-661 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/WD%200806-661%20b
Kepler-655 b,0.843,0.020014,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-655%20b
K2-331 b,0.43,0.0155,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-331%20b
Kepler-1819 b,1.6477,0.102,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1819%20b
KMT-2021-BLG-0736L b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/KMT-2021-BLG-0736L%20b
HD 158259 e,,,2.9,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20158259%20e
