name,vsini,ror,b,ref_link
name,pl_imppar,pl_ratror,st_vsin,https://exoplanetarchive.ipac.caltech.edu/overview/name
TOI-1745.01,-999,0.05083088457074213,,https://exofop.ipac.caltech.edu/tess/target.php?id=232635922
TOI-1746.01,-999,0.03547635629445067,,https://exofop.ipac.caltech.edu/tess/target.php?id=232650365
TOI-1746.02,-999,0.03283154810145906,,https://exofop.ipac.caltech.edu/tess/target.php?id=232650365
TOI-1747.01,-999,0.0206881608655772,1.99,https://exofop.ipac.caltech.edu/tess/target.php?id=233071822
TOI-1748.01,-999,0.020077897613565394,5.07,https://exofop.ipac.caltech.edu/tess/target.php?id=233071926
TOI-1749.01,-999,0.03565370530991457,,https://exofop.ipac.caltech.edu/tess/target.php?id=233602827
TOI-1749.02,-999,0.040137277171941425,,https://exofop.ipac.caltech.edu/tess/target.php?id=233602827
TOI-1749.03,-999,0.023871555817191577,,https://exofop.ipac.caltech.edu/tess/target.php?id=233602827
TOI-1750.01,-999,0.034554958569273965,3.7350000000000003,https://exofop.ipac.caltech.edu/tess/target.php?id=237099296
TOI-1751.01,-999,0.020049937655763423,4.015000000000001,https://exofop.ipac.caltech.edu/tess/target.php?id=287080092
TOI-1752.01,-999,0.033915882939785154,,https://exofop.ipac.caltech.edu/tess/target.php?id=287139872
TOI-1752.02,-999,0.038330925879418956,,https://exofop.ipac.caltech.edu/tess/target.php?id=287139872
TOI-1753.01,-999,0.025113544778661456,2.965,https://exofop.ipac.caltech.edu/tess/target.php?id=289580577
TOI-1754.01,-999,0.039417083020633834,,https://exofop.ipac.caltech.edu/tess/target.php?id=332477926
TOI-1755.01,-999,0.05848076606885378,13.71,https://exofop.ipac.caltech.edu/tess/target.php?id=356978132
TOI-1756.01,-999,0.030269854146951748,,https://exofop.ipac.caltech.edu/tess/target.php?id=364074068
TOI-1757.01,-999,0.023889032688345083,3.13,https://exofop.ipac.caltech.edu/tess/target.php?id=367753709
TOI-1757.02,-999,0.02367310630361324,3.13,https://exofop.ipac.caltech.edu/tess/target.php?id=367753709
TOI-1758.01,-999,0.042684891940826086,2.975,https://exofop.ipac.caltech.edu/tess/target.php?id=367858035
TOI-1759.01,-999,0.0510881590977792,1.685,https://exofop.ipac.caltech.edu/tess/target.php?id=408636441
TOI-1760.01,-999,0.07041220131624752,,https://exofop.ipac.caltech.edu/tess/target.php?id=420112587
TOI-1761.01,-999,0.01931741590671462,5.645,https://exofop.ipac.caltech.edu/tess/target.php?id=424391516
TOI-1762.01,-999,0.040159426571635834,4.375,https://exofop.ipac.caltech.edu/tess/target.php?id=435680451
TOI-1763.01,-999,0.03874380599215931,,https://exofop.ipac.caltech.edu/tess/target.php?id=441739871
TOI-1764.01,-999,0.13982131454109564,,https://exofop.ipac.caltech.edu/tess/target.php?id=1551345500
TOI-1765.01,-999,0.06041522986797286,2.67,https://exofop.ipac.caltech.edu/tess/target.php?id=272672133
TOI-1766.01,-999,0.1016857905510893,,https://exofop.ipac.caltech.edu/tess/target.php?id=67666096
TOI-1767.01,-999,0.10134100848126586,,https://exofop.ipac.caltech.edu/tess/target.php?id=8767448
TOI-1768.01,-999,0.02819574435974337,3.4699999999999998,https://exofop.ipac.caltech.edu/tess/target.php?id=137906197
TOI-1769.01,-999,0.02588435821108957,0.8999999999999999,https://exofop.ipac.caltech.edu/tess/target.php?id=287225295
TOI-1770.01,-999,0.029573300525605254,,https://exofop.ipac.caltech.edu/tess/target.php?id=457138169
TOI-1771.01,-999,0.1201207725582882,,https://exofop.ipac.caltech.edu/tess/target.php?id=252479260
TOI-1772.01,-999,0.026586021340012894,2.76,https://exofop.ipac.caltech.edu/tess/target.php?id=85293053
TOI-1772.02,-999,0.04650639667043105,2.76,https://exofop.ipac.caltech.edu/tess/target.php?id=85293053
TOI-1773.01,-999,0.019613090324329337,5.112171803490607,https://exofop.ipac.caltech.edu/tess/target.php?id=332064670
TOI-1774.01,-999,0.024804986658143822,2.5,https://exofop.ipac.caltech.edu/tess/target.php?id=4897275
TOI-1775.01,-999,0.09974968671630002,3.14,https://exofop.ipac.caltech.edu/tess/target.php?id=9348006
TOI-1776.01,-999,0.014312768164984438,2.17,https://exofop.ipac.caltech.edu/tess/target.php?id=21535395
TOI-1777.01,-999,0.01816590212458495,3.365,https://exofop.ipac.caltech.edu/tess/target.php?id=29191624
TOI-1778.01,-999,0.02084668671009765,4.234999999999999,https://exofop.ipac.caltech.edu/tess/target.php?id=39699648
TOI-1779.01,-999,0.3150714204747869,,https://exofop.ipac.caltech.edu/tess/target.php?id=67646988
TOI-1780.01,-999,0.10478549517943789,,https://exofop.ipac.caltech.edu/tess/target.php?id=99834717
TOI-1781.01,-999,0.08024961059095552,,https://exofop.ipac.caltech.edu/tess/target.php?id=137881699
TOI-1782.01,-999,0.03453027396118195,4.484999999999999,https://exofop.ipac.caltech.edu/tess/target.php?id=160045097
TOI-1782.02,-999,0.02654899985503275,4.484999999999999,https://exofop.ipac.caltech.edu/tess/target.php?id=160045097
TOI-1782.03,-999,0.03881775793373092,4.484999999999999,https://exofop.ipac.caltech.edu/tess/target.php?id=160045097
TOI-1783.01,-999,0.02156874174542998,5.9350000000000005,https://exofop.ipac.caltech.edu/tess/target.php?id=229938290
TOI-1784.01,-999,0.035355339059327376,31.12,https://exofop.ipac.caltech.edu/tess/target.php?id=241196395
TOI-1785.01,-999,0.017262676501632067,14.51,https://exofop.ipac.caltech.edu/tess/target.php?id=230386259
TOI-1786.01,-999,0.05280151512977634,,https://exofop.ipac.caltech.edu/tess/target.php?id=86280613
TOI-1787.01,-999,0.09828529900244493,6.1,https://exofop.ipac.caltech.edu/tess/target.php?id=372730331
TOI-1788.01,-999,0.08354639429682169,12.16,https://exofop.ipac.caltech.edu/tess/target.php?id=450327768
TOI-1789.01,-999,0.04427188724235731,7.5,https://exofop.ipac.caltech.edu/tess/target.php?id=172518755
TOI-1790.01,-999,0.0232379000772445,5.05,https://exofop.ipac.caltech.edu/tess/target.php?id=310981412
TOI-1791.01,-999,0.010488088481701515,5.234999999999999,https://exofop.ipac.caltech.edu/tess/target.php?id=233684293
TOI-1792.01,-999,0.013038404810405298,4.195,https://exofop.ipac.caltech.edu/tess/target.php?id=29191596
TOI-1793.01,-999,0.050089919145472776,4.976701041044307,https://exofop.ipac.caltech.edu/tess/target.php?id=304142124
TOI-1794.01,-999,0.023021728866442676,2.52,https://exofop.ipac.caltech.edu/tess/target.php?id=286916251
TOI-1795.01,-999,0.03192142138670191,3.78,https://exofop.ipac.caltech.edu/tess/target.php?id=135083444
TOI-1796.01,-999,0.08002940176672114,,https://exofop.ipac.caltech.edu/tess/target.php?id=138819293
TOI-1797.01,-999,0.027928480087537882,4.69,https://exofop.ipac.caltech.edu/tess/target.php?id=368435330
TOI-1797.02,-999,0.014491376746189439,4.69,https://exofop.ipac.caltech.edu/tess/target.php?id=368435330
TOI-1798.01,-999,0.02949576240750525,3.32,https://exofop.ipac.caltech.edu/tess/target.php?id=198153540
TOI-1798.02,-999,0.016167671183318272,3.32,https://exofop.ipac.caltech.edu/tess/target.php?id=198153540
TOI-1799.01,-999,0.016859362784565554,1.8,https://exofop.ipac.caltech.edu/tess/target.php?id=8967242
TOI-1800.01,-999,0.09792854537876074,,https://exofop.ipac.caltech.edu/tess/target.php?id=17993892
TOI-1801.01,-999,0.03521363372331802,,https://exofop.ipac.caltech.edu/tess/target.php?id=119584412
TOI-1802.01,-999,0.04261778500182148,,https://exofop.ipac.caltech.edu/tess/target.php?id=138762614
TOI-1803.01,-999,0.05630275304103699,4.525,https://exofop.ipac.caltech.edu/tess/target.php?id=144401492
TOI-1803.02,-999,0.042544094772365294,4.525,https://exofop.ipac.caltech.edu/tess/target.php?id=144401492
TOI-1804.01,-999,0.02833725463060951,1.51,https://exofop.ipac.caltech.edu/tess/target.php?id=148679712
TOI-1805.01,-999,0.03209361307176243,1.2349999999999999,https://exofop.ipac.caltech.edu/tess/target.php?id=165763244
TOI-1806.01,-999,0.07039392226574401,,https://exofop.ipac.caltech.edu/tess/target.php?id=166648874
TOI-1806.02,-999,0.0685531505269747,,https://exofop.ipac.caltech.edu/tess/target.php?id=166648874
TOI-1806.03,-999,0.039199085620382525,,https://exofop.ipac.caltech.edu/tess/target.php?id=166648874
TOI-1807.01,-999,0.019235384061671346,4.23,https://exofop.ipac.caltech.edu/tess/target.php?id=180695581
TOI-1808.01,-999,0.06523936159086904,,https://exofop.ipac.caltech.edu/tess/target.php?id=307734817
TOI-1809.01,-999,0.11049886877249016,,https://exofop.ipac.caltech.edu/tess/target.php?id=347329162
TOI-1810.01,-999,0.1372953021774598,,https://exofop.ipac.caltech.edu/tess/target.php?id=373693175
TOI-1811.01,-999,0.1400357097314824,3.3499999999999996,https://exofop.ipac.caltech.edu/tess/target.php?id=376524552
TOI-1812.01,-999,0.09602029911885002,2.96,https://exofop.ipac.caltech.edu/tess/target.php?id=207425167
TOI-1812.02,-999,0.03730388110560146,2.96,https://exofop.ipac.caltech.edu/tess/target.php?id=207425167
TOI-1812.03,-999,0.06913790964508618,2.96,https://exofop.ipac.caltech.edu/tess/target.php?id=207425167
TOI-1813.01,-999,0.013784048752090222,,https://exofop.ipac.caltech.edu/tess/target.php?id=377290815
TOI-1814.01,-999,0.021476747171497966,1.72,https://exofop.ipac.caltech.edu/tess/target.php?id=160440924
TOI-1815.01,-999,0.08093207028119323,49.35,https://exofop.ipac.caltech.edu/tess/target.php?id=233720539
TOI-1816.01,-999,0.020248456731316585,3.1550000000000002,https://exofop.ipac.caltech.edu/tess/target.php?id=237108272
TOI-1817.01,-999,0.0382099463490856,10.555,https://exofop.ipac.caltech.edu/tess/target.php?id=285094173
TOI-1818.01,-999,0.057008771254956896,11.79,https://exofop.ipac.caltech.edu/tess/target.php?id=330799746
TOI-1819.01,-999,0.01224744871391589,98.93,https://exofop.ipac.caltech.edu/tess/target.php?id=341815767
TOI-1820.01,-999,0.07835815209663893,4.0,https://exofop.ipac.caltech.edu/tess/target.php?id=393831507
TOI-1821.01,-999,0.030659419433511782,4.8107789385749316,https://exofop.ipac.caltech.edu/tess/target.php?id=82308728
TOI-1822.01,-999,0.08366600265340755,5.58,https://exofop.ipac.caltech.edu/tess/target.php?id=9392421
TOI-1823.01,-999,0.09794386147176351,2.2800000000000002,https://exofop.ipac.caltech.edu/tess/target.php?id=142381532
TOI-1824.01,-999,0.031256999216175564,1.42,https://exofop.ipac.caltech.edu/tess/target.php?id=142387023
TOI-1825.01,-999,0.10300485425454473,3.9499999999999997,https://exofop.ipac.caltech.edu/tess/target.php?id=229750058
TOI-1826.01,-999,0.10065257662067126,,https://exofop.ipac.caltech.edu/tess/target.php?id=229400092
TOI-1827.01,-999,0.03937806963262318,,https://exofop.ipac.caltech.edu/tess/target.php?id=390651552
TOI-1828.01,-999,0.0506951674225463,4.1899999999999995,https://exofop.ipac.caltech.edu/tess/target.php?id=232982938
TOI-1829.01,-999,0.15588457268119896,,https://exofop.ipac.caltech.edu/tess/target.php?id=235905185
TOI-1830.01,-999,0.1415627069534911,30.965,https://exofop.ipac.caltech.edu/tess/target.php?id=20182165
TOI-1831.01,-999,0.01880703372437296,35.94,https://exofop.ipac.caltech.edu/tess/target.php?id=27194429
TOI-1832.01,-999,0.09327379053088815,,https://exofop.ipac.caltech.edu/tess/target.php?id=307956397
TOI-1833.01,-999,0.09263062069580799,,https://exofop.ipac.caltech.edu/tess/target.php?id=61098812
TOI-1834.01,-999,0.12429802894656053,,https://exofop.ipac.caltech.edu/tess/target.php?id=71612483
TOI-1835.01,-999,0.02332035265532198,1.5,https://exofop.ipac.caltech.edu/tess/target.php?id=347332255
TOI-1835.02,-999,0.02977387821084341,1.5,https://exofop.ipac.caltech.edu/tess/target.php?id=347332255
TOI-1836.01,-999,0.03716180835212409,8.695,https://exofop.ipac.caltech.edu/tess/target.php?id=207468071
TOI-1836.02,-999,0.015588457268119896,8.695,https://exofop.ipac.caltech.edu/tess/target.php?id=207468071
TOI-1837.01,-999,0.03270429622587788,12.844999999999999,https://exofop.ipac.caltech.edu/tess/target.php?id=144441148
TOI-1838.01,-999,0.10570332519094373,,https://exofop.ipac.caltech.edu/tess/target.php?id=162689341
TOI-1839.01,-999,0.026852297055055662,2.42,https://exofop.ipac.caltech.edu/tess/target.php?id=381714186
TOI-1840.01,-999,0.08378544026261364,,https://exofop.ipac.caltech.edu/tess/target.php?id=165987272
TOI-1841.01,-999,0.14849242404917498,,https://exofop.ipac.caltech.edu/tess/target.php?id=168699373
TOI-1842.01,-999,0.05630275304103699,7.62,https://exofop.ipac.caltech.edu/tess/target.php?id=404505029
TOI-1843.01,-999,0.09364879133357669,,https://exofop.ipac.caltech.edu/tess/target.php?id=258871793
TOI-1844.01,-999,0.15009996668887038,,https://exofop.ipac.caltech.edu/tess/target.php?id=198108326
TOI-1845.01,-999,0.136753141944695,4.58,https://exofop.ipac.caltech.edu/tess/target.php?id=272758199
TOI-1846.01,-999,0.04046230871994652,,https://exofop.ipac.caltech.edu/tess/target.php?id=198385543
TOI-1847.01,-999,0.09944847912361456,2.14,https://exofop.ipac.caltech.edu/tess/target.php?id=54002556
TOI-1847.02,-999,0.05477225575051661,2.14,https://exofop.ipac.caltech.edu/tess/target.php?id=54002556
TOI-1848.01,-999,0.05263078946776307,5.8,https://exofop.ipac.caltech.edu/tess/target.php?id=219824469
TOI-1849.01,-999,0.06540642170307133,3.92,https://exofop.ipac.caltech.edu/tess/target.php?id=23740089
TOI-1850.01,-999,0.07668115805072326,,https://exofop.ipac.caltech.edu/tess/target.php?id=149577217
TOI-1851.01,-999,0.11794066304714418,,https://exofop.ipac.caltech.edu/tess/target.php?id=378976682
TOI-1852.01,-999,0.1464923206178399,,https://exofop.ipac.caltech.edu/tess/target.php?id=219728669
TOI-1853.01,-999,0.04230839160261236,3.9053680127607953,https://exofop.ipac.caltech.edu/tess/target.php?id=73540072
TOI-1854.01,-999,0.13245330087246146,,https://exofop.ipac.caltech.edu/tess/target.php?id=157225097
TOI-1855.01,-999,0.08843076387773657,5.7961311472086745,https://exofop.ipac.caltech.edu/tess/target.php?id=81247740
TOI-1856.01,-999,0.10908712114635714,3.98,https://exofop.ipac.caltech.edu/tess/target.php?id=224313733
TOI-1857.01,-999,0.049497474683058325,,https://exofop.ipac.caltech.edu/tess/target.php?id=180652891
TOI-1858.01,-999,0.144083309234623,,https://exofop.ipac.caltech.edu/tess/target.php?id=424733642
TOI-1859.01,-999,0.07319152956456094,13.5,https://exofop.ipac.caltech.edu/tess/target.php?id=229742722
TOI-1860.01,-999,0.012288205727444507,11.07,https://exofop.ipac.caltech.edu/tess/target.php?id=202426247
TOI-1861.01,-999,0.09212168636157476,,https://exofop.ipac.caltech.edu/tess/target.php?id=323295479
TOI-1862.01,-999,0.06431330349363559,,https://exofop.ipac.caltech.edu/tess/target.php?id=321668398
TOI-1863.01,-999,0.04347413023856832,,https://exofop.ipac.caltech.edu/tess/target.php?id=356919658
TOI-1864.01,-999,0.13896042602122377,,https://exofop.ipac.caltech.edu/tess/target.php?id=229791084
TOI-1865.01,-999,0.03741657386773942,,https://exofop.ipac.caltech.edu/tess/target.php?id=207425203
TOI-1866.01,-999,0.054621905699843806,,https://exofop.ipac.caltech.edu/tess/target.php?id=400430915
TOI-1867.01,-999,0.1016857905510893,,https://exofop.ipac.caltech.edu/tess/target.php?id=400476523
TOI-1868.01,-999,0.07666647272449001,5.585,https://exofop.ipac.caltech.edu/tess/target.php?id=230087585
TOI-1869.01,-999,0.03704863952247086,,https://exofop.ipac.caltech.edu/tess/target.php?id=299780329
TOI-1870.01,-999,0.11137857661980737,,https://exofop.ipac.caltech.edu/tess/target.php?id=230375747
TOI-1871.01,-999,0.04171330722922842,11.08,https://exofop.ipac.caltech.edu/tess/target.php?id=233503636
TOI-1872.01,-999,0.06220932405998316,33.58,https://exofop.ipac.caltech.edu/tess/target.php?id=229490898
TOI-1873.01,-999,0.0372827037646145,3.1799999999999997,https://exofop.ipac.caltech.edu/tess/target.php?id=328933398
TOI-1873.02,-999,0.03666726725822146,3.1799999999999997,https://exofop.ipac.caltech.edu/tess/target.php?id=328933398
TOI-1873.03,-999,0.027692859404388273,3.1799999999999997,https://exofop.ipac.caltech.edu/tess/target.php?id=328933398
TOI-1874.01,-999,0.10582037721487104,,https://exofop.ipac.caltech.edu/tess/target.php?id=232641326
TOI-1875.01,-999,0.10936178491593852,,https://exofop.ipac.caltech.edu/tess/target.php?id=233047097
TOI-1876.01,-999,0.06434930417870452,,https://exofop.ipac.caltech.edu/tess/target.php?id=233078665
TOI-1877.01,-999,0.13765899897936204,7.41,https://exofop.ipac.caltech.edu/tess/target.php?id=233497719
TOI-1878.01,-999,0.06304150944254039,7.56,https://exofop.ipac.caltech.edu/tess/target.php?id=219762508
TOI-1879.01,-999,0.10057856138920661,,https://exofop.ipac.caltech.edu/tess/target.php?id=243335710
TOI-1880.01,-999,0.10049364366150876,,https://exofop.ipac.caltech.edu/tess/target.php?id=359357695
TOI-1881.01,-999,0.04360045871318328,27.682171977278614,https://exofop.ipac.caltech.edu/tess/target.php?id=59859387
TOI-1882.01,-999,0.07605506897566834,,https://exofop.ipac.caltech.edu/tess/target.php?id=396368313
TOI-1883.01,-999,0.11190603811309602,,https://exofop.ipac.caltech.edu/tess/target.php?id=348755728
TOI-1884.01,-999,0.10071367844284113,4.54,https://exofop.ipac.caltech.edu/tess/target.php?id=219879302
TOI-1885.01,-999,0.07784600182411426,,https://exofop.ipac.caltech.edu/tess/target.php?id=258510872
TOI-1886.01,-999,0.13628633666979387,,https://exofop.ipac.caltech.edu/tess/target.php?id=403136415
TOI-1887.01,-999,0.035994423793902434,,https://exofop.ipac.caltech.edu/tess/target.php?id=229586455
TOI-1888.01,-999,0.057879184513951125,49.963573888740946,https://exofop.ipac.caltech.edu/tess/target.php?id=459997997
TOI-1889.01,-999,0.06528456838238665,,https://exofop.ipac.caltech.edu/tess/target.php?id=139771134
TOI-1890.01,-999,0.07800220216451853,4.51,https://exofop.ipac.caltech.edu/tess/target.php?id=288636599
TOI-1891.01,-999,0.05762811813689564,,https://exofop.ipac.caltech.edu/tess/target.php?id=139198430
TOI-1892.01,-999,0.02801049684608156,4.739784497704509,https://exofop.ipac.caltech.edu/tess/target.php?id=63698669
TOI-1893.01,-999,0.02367277844525467,80.8,https://exofop.ipac.caltech.edu/tess/target.php?id=264544388
TOI-1894.01,-999,0.055738385007897656,5.292589215192678,https://exofop.ipac.caltech.edu/tess/target.php?id=280865159
TOI-1895.01,-999,0.06802433799245826,30.662515403165003,https://exofop.ipac.caltech.edu/tess/target.php?id=384159646
TOI-1896.01,-999,0.053070918764228495,26.3,https://exofop.ipac.caltech.edu/tess/target.php?id=174302697
TOI-1897.01,-999,0.24933912649241394,2.775,https://exofop.ipac.caltech.edu/tess/target.php?id=420645189
TOI-1897.02,-999,0.0687749954561976,2.775,https://exofop.ipac.caltech.edu/tess/target.php?id=420645189
TOI-1898.01,-999,0.05503222081594372,,https://exofop.ipac.caltech.edu/tess/target.php?id=91987762
TOI-1899.01,-999,0.19381004430518534,,https://exofop.ipac.caltech.edu/tess/target.php?id=172370679
TOI-1900.01,-999,0.11188172483885427,,https://exofop.ipac.caltech.edu/tess/target.php?id=178879588
TOI-1901.01,-999,0.14515508947329403,,https://exofop.ipac.caltech.edu/tess/target.php?id=19684256
TOI-1902.01,-999,0.11597413504743202,,https://exofop.ipac.caltech.edu/tess/target.php?id=272212970
TOI-1903.01,-999,0.059833101206606364,,https://exofop.ipac.caltech.edu/tess/target.php?id=77156657
TOI-1904.01,-999,0.07987490219086343,,https://exofop.ipac.caltech.edu/tess/target.php?id=272213425
TOI-1905.01,-999,0.15984054554461455,,https://exofop.ipac.caltech.edu/tess/target.php?id=429302040
TOI-1906.01,-999,0.10114346246792226,,https://exofop.ipac.caltech.edu/tess/target.php?id=308098254
TOI-1907.01,-999,0.09492101980067429,,https://exofop.ipac.caltech.edu/tess/target.php?id=453789494
TOI-1908.01,-999,0.08390470785361212,,https://exofop.ipac.caltech.edu/tess/target.php?id=37718056
TOI-1909.01,-999,0.11095043938624127,,https://exofop.ipac.caltech.edu/tess/target.php?id=232038798
TOI-1910.01,-999,0.11962441222426132,,https://exofop.ipac.caltech.edu/tess/target.php?id=437261733
TOI-1911.01,-999,0.06041522986797286,,https://exofop.ipac.caltech.edu/tess/target.php?id=44745133
TOI-1912.01,-999,0.08228000972289685,,https://exofop.ipac.caltech.edu/tess/target.php?id=50712784
TOI-1913.01,-999,0.10481972508798523,,https://exofop.ipac.caltech.edu/tess/target.php?id=53458803
TOI-1914.01,-999,0.06931202829256276,,https://exofop.ipac.caltech.edu/tess/target.php?id=53750200
TOI-1915.01,-999,0.10288484145935736,,https://exofop.ipac.caltech.edu/tess/target.php?id=98283926
TOI-1916.01,-999,0.06601761952283694,,https://exofop.ipac.caltech.edu/tess/target.php?id=98545929
TOI-1917.01,-999,0.11108555261599053,,https://exofop.ipac.caltech.edu/tess/target.php?id=339522221
TOI-1918.01,-999,0.06587867636800242,,https://exofop.ipac.caltech.edu/tess/target.php?id=308425348
TOI-1919.01,-999,0.087692645073575,,https://exofop.ipac.caltech.edu/tess/target.php?id=102192004
TOI-1920.01,-999,0.0823407554009556,,https://exofop.ipac.caltech.edu/tess/target.php?id=363851359
TOI-1921.01,-999,0.08729261137118079,,https://exofop.ipac.caltech.edu/tess/target.php?id=112099249
TOI-1922.01,-999,0.104256847778016,,https://exofop.ipac.caltech.edu/tess/target.php?id=112604564
TOI-1923.01,-999,0.10990905331227269,,https://exofop.ipac.caltech.edu/tess/target.php?id=114299824
TOI-1924.01,-999,0.0947100839404126,41.99868707862478,https://exofop.ipac.caltech.edu/tess/target.php?id=371443216
TOI-1925.01,-999,0.12385475364312828,,https://exofop.ipac.caltech.edu/tess/target.php?id=118956453
TOI-1926.01,-999,0.03502393546739843,,https://exofop.ipac.caltech.edu/tess/target.php?id=143143769
TOI-1927.01,-999,0.14838424900815989,,https://exofop.ipac.caltech.edu/tess/target.php?id=14344979
TOI-1928.01,-999,0.1167859532441115,,https://exofop.ipac.caltech.edu/tess/target.php?id=207077681
TOI-1929.01,-999,0.13656500283747663,,https://exofop.ipac.caltech.edu/tess/target.php?id=157266693
TOI-1930.01,-999,0.09332738076256078,,https://exofop.ipac.caltech.edu/tess/target.php?id=160578764
TOI-1931.01,-999,0.05692099788303082,,https://exofop.ipac.caltech.edu/tess/target.php?id=162922904
TOI-1932.01,-999,0.08155789303877896,,https://exofop.ipac.caltech.edu/tess/target.php?id=386259537
TOI-1933.01,-999,0.07079246077602021,,https://exofop.ipac.caltech.edu/tess/target.php?id=172598832
TOI-1934.01,-999,0.10568822072492279,,https://exofop.ipac.caltech.edu/tess/target.php?id=125739286
TOI-1935.01,-999,0.08006247560499238,,https://exofop.ipac.caltech.edu/tess/target.php?id=176685457
TOI-1936.01,-999,0.12625371281669304,,https://exofop.ipac.caltech.edu/tess/target.php?id=178289267
TOI-1937.01,-999,0.1284133949399361,12.198637802242999,https://exofop.ipac.caltech.edu/tess/target.php?id=268301217
TOI-1938.01,-999,0.07183454663258995,,https://exofop.ipac.caltech.edu/tess/target.php?id=128449971
TOI-1939.01,-999,0.05550607111682658,,https://exofop.ipac.caltech.edu/tess/target.php?id=325172035
TOI-1940.01,-999,0.053308372262058985,9.22,https://exofop.ipac.caltech.edu/tess/target.php?id=7413227
TOI-1941.01,-999,0.01,,https://exofop.ipac.caltech.edu/tess/target.php?id=167009792
TOI-1942.01,-999,0.015684387141358124,8.174558591626145,https://exofop.ipac.caltech.edu/tess/target.php?id=308919449
TOI-1943.01,-999,0.027202941017470887,5.088522325555191,https://exofop.ipac.caltech.edu/tess/target.php?id=382980571
TOI-1944.01,-999,0.09411550570845624,,https://exofop.ipac.caltech.edu/tess/target.php?id=461080504
TOI-1945.01,-999,0.026645825188948456,,https://exofop.ipac.caltech.edu/tess/target.php?id=357536526
TOI-1946.01,-999,0.055856960175075764,,https://exofop.ipac.caltech.edu/tess/target.php?id=127315102
TOI-1947.01,-999,0.05404627646748664,,https://exofop.ipac.caltech.edu/tess/target.php?id=460140752
TOI-1948.01,-999,0.012757909613606063,5.368746312040324,https://exofop.ipac.caltech.edu/tess/target.php?id=31268146
TOI-1949.01,-999,0.10816653826391968,35.0629686592153,https://exofop.ipac.caltech.edu/tess/target.php?id=334125713
TOI-1950.01,-999,0.020356301235735338,,https://exofop.ipac.caltech.edu/tess/target.php?id=327663613
TOI-1951.01,-999,0.09068066883444134,,https://exofop.ipac.caltech.edu/tess/target.php?id=356590734
TOI-1952.01,-999,0.07707139547199078,,https://exofop.ipac.caltech.edu/tess/target.php?id=394509844
TOI-1953.01,-999,0.02846049894151541,,https://exofop.ipac.caltech.edu/tess/target.php?id=242536549
TOI-1954.01,-999,0.04128750022942804,,https://exofop.ipac.caltech.edu/tess/target.php?id=466113537
TOI-1955.01,-999,0.05,5.867694278655678,https://exofop.ipac.caltech.edu/tess/target.php?id=166184426
TOI-1956.01,-999,0.03521363372331802,,https://exofop.ipac.caltech.edu/tess/target.php?id=334911765
TOI-1957.01,-999,0.02071231517720798,6.6911210069360045,https://exofop.ipac.caltech.edu/tess/target.php?id=302659412
TOI-1958.01,-999,0.036373066958946425,5.092619842886094,https://exofop.ipac.caltech.edu/tess/target.php?id=356747847
TOI-1959.01,-999,0.02947238438638121,9.755602258896145,https://exofop.ipac.caltech.edu/tess/target.php?id=400323948
TOI-1960.01,-999,0.01816590212458495,,https://exofop.ipac.caltech.edu/tess/target.php?id=318828309
TOI-1961.01,-999,0.030822070014844882,,https://exofop.ipac.caltech.edu/tess/target.php?id=179319057
TOI-1962.01,-999,0.05138093031466052,,https://exofop.ipac.caltech.edu/tess/target.php?id=141663464
TOI-1963.01,-999,0.16460692558039045,,https://exofop.ipac.caltech.edu/tess/target.php?id=190271688
TOI-1964.01,-999,0.035637059362410926,,https://exofop.ipac.caltech.edu/tess/target.php?id=242083025
TOI-1965.01,-999,0.029664793948382652,205.4800357504783,https://exofop.ipac.caltech.edu/tess/target.php?id=295354126
TOI-1966.01,-999,0.02378951625604533,,https://exofop.ipac.caltech.edu/tess/target.php?id=242120884
TOI-1967.01,-999,0.023874672772626643,5.138114302328127,https://exofop.ipac.caltech.edu/tess/target.php?id=320079492
TOI-1968.01,-999,0.08757853618324526,,https://exofop.ipac.caltech.edu/tess/target.php?id=210445631
TOI-1969.01,-999,0.022096157557035295,,https://exofop.ipac.caltech.edu/tess/target.php?id=293708935
TOI-1970.01,-999,0.10634848376916335,,https://exofop.ipac.caltech.edu/tess/target.php?id=162695785
TOI-1971.01,-999,0.03588871688985272,,https://exofop.ipac.caltech.edu/tess/target.php?id=253132689
TOI-1972.01,-999,0.0291547594742265,5.981526714245685,https://exofop.ipac.caltech.edu/tess/target.php?id=267414551
TOI-1973.01,-999,0.074565407529229,4.81,https://exofop.ipac.caltech.edu/tess/target.php?id=47617161
TOI-1974.01,-999,0.08848728722251575,13.47653435489623,https://exofop.ipac.caltech.edu/tess/target.php?id=295562522
TOI-1975.01,-999,0.027928480087537882,4.999585006455802,https://exofop.ipac.caltech.edu/tess/target.php?id=467281353
TOI-1976.01,-999,0.08602325267042626,,https://exofop.ipac.caltech.edu/tess/target.php?id=329888006
TOI-1977.01,-999,0.05224940191045252,,https://exofop.ipac.caltech.edu/tess/target.php?id=383531859
TOI-1978.01,-999,0.12715458667704754,,https://exofop.ipac.caltech.edu/tess/target.php?id=458856474
TOI-1979.01,-999,0.05805170109479997,,https://exofop.ipac.caltech.edu/tess/target.php?id=458857720
TOI-1980.01,-999,0.09497368056467012,,https://exofop.ipac.caltech.edu/tess/target.php?id=127793615
